first_name,last_name,price
William,Garcia,true
Barbara,Freeman,true
Rebecca,Zimmerman,true
Patricia,Velasquez,true
Ronnie,Clark,true
Timothy,Rose,
Joshua,Ramirez,
Joseph,Dawson,true
Robert,Rios,
Karen,Mitchell,true
Patrick,Greene,
Matthew,Nelson,true
Melissa,Smith,
Amy,Johnson,
Edgar,Ellis,true
Olivia,Rivera,true
Kelly,Leblanc,
Jennifer,Anderson,
Tammy,Clark,true
Jennifer,Marquez,
Cory,Silva,
Mackenzie,Moon,true
Larry,Wade,true
Diana,Shaffer,
Stephen,Smith,true
Kendra,White,true
Lindsey,Williamson,true
Wanda,Hale,true
Jillian,Davies,
Douglas,Thomas,true
Jennifer,Davis,true
George,Holmes,
Marissa,Webster,true
Anna,Boyle,
Paul,Gillespie,true
Autumn,Johnston,true
Tracey,Norton,true
Amy,Flynn,true
Melissa,Davis,
Vincent,Mitchell,
Gregory,Martin,true
Robert,Coffey,true
Melissa,Montgomery,true
Krystal,Cunningham,true
Scott,Lee,true
James,Murray,
Hunter,Stokes,
Jasmine,Austin,
Grant,Summers,
Sarah,Spencer,true
Brianna,Lewis,true
Rhonda,Martin,true
Dennis,Lawrence,true
Michael,Stewart,true
William,Wilkins,
Rebecca,Jimenez,true
Kathleen,Roman,
Billy,Smith,
Nicole,James,true
Allison,Holt,
Amanda,Johnson,
Michael,Spencer,true
Brandi,King,
Alexander,King,
Nicole,Sampson,true
Savannah,Bell,
Jessica,Harris,true
Lauren,Gallagher,true
Jack,Townsend,
Jamie,Nguyen,true
Ann,Price,true
Michael,Rodriguez,true
Heather,Davidson,true
Marie,Green,true
Lori,Tapia,true
Kayla,Alvarado,true
Susan,Crosby,true
Nathan,Harris,true
Michael,Daniel,
Ashley,Jones,
John,Wright,
Melissa,Jordan,true
Carrie,Jackson,true
Rebecca,Anderson,true
Paul,Powell,true
Shawn,Baxter,
Sarah,Wright,true
Kimberly,Romero,true
Matthew,Washington,true
Kirk,Hayden,true
Traci,Kelley,
Isabella,Chen,true
Melanie,Salazar,true
Stephanie,Lewis,
Christopher,Hensley,true
Terry,Vincent,true
Jason,Alvarado,
Michelle,Evans,true
Dennis,Benitez,
Troy,Garcia,true
Albert,Davila,true
Candice,Rivera,
Cole,Edwards,true
Danielle,Johnson,
Justin,Ramirez,true
Elizabeth,Griffith,true
Kristin,Clay,true
Joseph,White,
Marissa,Holmes,
Michelle,Hamilton,
Christopher,Alvarez,true
Craig,Hogan,true
Melissa,Castillo,true
Maria,Williams,
Vanessa,Thomas,
Gary,Obrien,
Melissa,Holt,true
Eric,Valenzuela,true
Anthony,Hardy,
Karen,Johnson,
Richard,Hunt,true
Karen,Robertson,
Adam,Jones,
Jonathan,Fuller,
Jason,Harris,true
Danielle,Hill,true
Seth,Freeman,true
Joseph,Davis,
Sonya,Reyes,true
Michael,Castro,true
Jonathan,Collins,true
Eric,Hayes,true
Eric,Moore,
Veronica,Estes,true
Timothy,Aguilar,true
Taylor,Hunt,true
Michael,Clarke,true
Cheryl,Morse,true
Jose,Page,true
Matthew,Kramer,true
Regina,Barrera,true
Sean,George,
Cody,Hernandez,true
Hunter,Smith,true
Andrea,Burke,true
Elizabeth,Patterson,true
Austin,Rhodes,true
Maurice,Thompson,true
Richard,Martinez,
Brian,Hernandez,
Samantha,Shields,true
Joseph,Walker,true
Tracy,Hernandez,true
Vicki,Fox,
Louis,Campos,true
Justin,Scott,true
Megan,Vaughn,true
Mary,Hughes,
Anita,Fleming,
Alyssa,Melendez,true
Joshua,Foster,true
Lisa,Smith,true
Kathy,Lee,true
Bethany,Park,true
Joshua,Butler,true
Danielle,Potter,true
Kenneth,Robinson,true
Eric,Pineda,true
James,Dorsey,
Michael,Miller,true
Danielle,Martinez,
Gary,Young,true
Lisa,Decker,true
Kayla,Randolph,true
Peggy,Thompson,true
Alex,Cooper,true
Joanne,Wilson,true
Maria,Adams,true
Julie,Horton,true
Jeffrey,Galvan,true
Christopher,Johnson,true
Jennifer,Arias,
Jocelyn,Bell,
Eric,Brown,true
Devon,Wright,
Rodney,Robles,true
Kara,Austin,true
Jeffrey,Tanner,true
Shaun,Nunez,true
Daniel,Mccall,true
Frank,Owen,true
Beth,Johnson,true
Joshua,Clark,true
Gary,Jones,
Nancy,Brown,true
Megan,Roach,
Lucas,Ross,true
Jerry,Tucker,
Timothy,Robles,
Christopher,Goodwin,
Philip,Wilson,
Carrie,Davis,true
Michael,Daniel,true
Bryan,Valenzuela,true
Robin,Garner,
Angel,Thompson,true
Christopher,Morgan,true
Brittany,Walker,true
